coder_pair,substance,block,item_id,level_1,level_2,level_3,n_shared_scenes,n_A_coded,n_B_coded,both_yes,A_only,B_only,both_no,observed_agreement,expected_agreement,prevalence,cohens_kappa,kappa_SE,pabak,kappa_label
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_geometrical_pattern,Visual hallucination,Geometrical pattern,,57,13,13,10,3,3,41,0.8947,0.6479,0.2281,0.701,0.1154,0.7895,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_human_relatives_acquaintances,Visual hallucination,Human,"Relative(s), acquaintance(s)",57,2,1,1,1,0,55,0.9825,0.9486,0.0263,0.6587,0.3383,0.9649,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_human_unknown_persons,Visual hallucination,Human,Unknown person(s),57,4,4,2,2,2,51,0.9298,0.8695,0.0702,0.4623,0.2593,0.8596,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_human_others,Visual hallucination,Human,Other(s),57,1,7,0,1,7,49,0.8596,0.864,0.0702,-0.0317,0.3382,0.7193,worse-than-chance
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_artefact_vehicle,Visual hallucination,Artefact,Vehicle,57,3,3,3,0,0,54,1.0,0.9003,0.0526,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_artefact_city_building_furniture,Visual hallucination,Artefact,"City, building, furniture",57,2,1,1,1,0,55,0.9825,0.9486,0.0263,0.6587,0.3383,0.9649,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_artefact_other,Visual hallucination,Artefact,Other,57,1,3,1,0,2,54,0.9649,0.9317,0.0351,0.4865,0.3567,0.9298,moderate
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_animal_mammal,Visual hallucination,Animal,Mammal,57,3,3,3,0,0,54,1.0,0.9003,0.0526,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_animal_aquatic_animal,Visual hallucination,Animal,Aquatic animal,57,0,1,0,0,1,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_animal_bird,Visual hallucination,Animal,Bird,57,1,1,1,0,0,56,1.0,0.9655,0.0175,1.0,0.0,1.0,almost-perfect
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_animal_insect,Visual hallucination,Animal,Insect,57,2,1,1,1,0,55,0.9825,0.9486,0.0263,0.6587,0.3383,0.9649,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_animal_other,Visual hallucination,Animal,Other,57,4,2,2,2,0,53,0.9649,0.8997,0.0526,0.6503,0.2429,0.9298,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_plant_tree_shrub,Visual hallucination,Plant,"Tree, shrub",57,2,1,1,1,0,55,0.9825,0.9486,0.0263,0.6587,0.3383,0.9649,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_plant_flower_grass,Visual hallucination,Plant,"Flower, grass",57,1,0,0,1,0,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_plant_mushroom_fungus,Visual hallucination,Plant,"Mushroom, fungus",57,1,0,0,1,0,56,0.9825,0.9825,0.0088,0.0,0.9912,0.9649,slight
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_inorganic_entity_earth_river_sky_cloud,Visual hallucination,Inorganic entity,"Earth, river, sky, cloud",57,3,2,2,1,0,54,0.9825,0.916,0.0439,0.7912,0.207,0.9649,substantial
Psil 11-20: Francesco × Susana,psilocybin,11-20,visual_hallucination_inorganic_entity_other,Visual hallucination,Inorganic entity,Other,57,3,3,1,2,2,52,0.9298,0.9003,0.0526,0.2963,0.3393,0.8596,fair
