code_id,scene_id,trip_id,rater,coder_name,item_id,item_path,level_1,level_2,level_3,is_scene_level,excerpt
C000110,Brugmansia_06_S01_A,Brugmansia_06,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000111,Brugmansia_06_S02_AB,Brugmansia_06,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000112,Brugmansia_06_S02_AB,Brugmansia_06,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000113,Brugmansia_06_S03_B,Brugmansia_06,B,Noah,tactile_hallucination_other,Tactile hallucination | Other,Tactile hallucination,Other,,True,
C000114,Brugmansia_06_S03_B,Brugmansia_06,B,Noah,sense_of_surprise_and_unexpectedness,Sense of surprise and unexpectedness,Sense of surprise and unexpectedness,,,True,
C000115,Brugmansia_06_S04_A,Brugmansia_06,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000116,Brugmansia_06_S04_A,Brugmansia_06,A,Brendan,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,True,
C000117,Brugmansia_06_S04_A,Brugmansia_06,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000118,Brugmansia_06_S05_A,Brugmansia_06,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000119,Brugmansia_06_S05_A,Brugmansia_06,A,Brendan,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",True,
C000120,Brugmansia_06_S05_A,Brugmansia_06,A,Brendan,visual_hallucination_artefact_other,Visual hallucination | Artefact | Other,Visual hallucination,Artefact,Other,True,
C000121,Brugmansia_06_S05_A,Brugmansia_06,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000122,Brugmansia_06_S06_B,Brugmansia_06,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000123,Brugmansia_06_S07_B,Brugmansia_06,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000124,,Brugmansia_06,A,Brendan,out_of_body_experience,out_of_body_experience,,,,False,slight dissociation I remember from lower doses
C000125,,Brugmansia_06,A,Brendan,domain_specific_violation_biological_projection,domain_specific_violation_biological_projection,,,,False,"play structure flipping me off, smiling; inanimate objects giving me the finger"
C000126,,Brugmansia_06,A,Brendan,amnesia,Amnesia,Amnesia,,,False,only had bits and pieces of memory
C000127,,Brugmansia_06,B,Noah,amnesia,Amnesia,Amnesia,,,False,only had bits and pieces of memory; forget what I was looking for
C000128,Brugmansia_07_S01_AB,Brugmansia_07,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000129,Brugmansia_07_S01_AB,Brugmansia_07,B,Noah,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000130,Brugmansia_07_S02_A,Brugmansia_07,A,Brendan,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,True,
C000131,Brugmansia_07_S03_AB,Brugmansia_07,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000132,Brugmansia_07_S03_AB,Brugmansia_07,A,Brendan,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000133,Brugmansia_07_S03_AB,Brugmansia_07,A,Brendan,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,
C000134,Brugmansia_07_S03_AB,Brugmansia_07,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000135,Brugmansia_07_S03_AB,Brugmansia_07,B,Noah,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,True,
C000136,Brugmansia_07_S03_AB,Brugmansia_07,B,Noah,auditory_hallucination_animal_insect,Auditory hallucination | Animal | Insect,Auditory hallucination,Animal,Insect,True,
C000137,,Brugmansia_07,A,Brendan,sense_of_surprise_and_unexpectedness,Sense of surprise and unexpectedness,Sense of surprise and unexpectedness,,,False,"The colors of everything fascinated me. Anything I touched, the feel of it seemed so new to me."
C000138,Brugmansia_08_S01_A,Brugmansia_08,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000139,Brugmansia_08_S01_A,Brugmansia_08,A,Brendan,visual_hallucination_human_relatives_acquaintances,"Visual hallucination | Human | Relative(s), acquaintance(s)",Visual hallucination,Human,"Relative(s), acquaintance(s)",True,
C000140,Brugmansia_08_S01_A,Brugmansia_08,A,Brendan,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,True,
C000141,Brugmansia_08_S01_A,Brugmansia_08,A,Brendan,sense_of_reality_delusional,Sense of reality | Delusional,Sense of reality,Delusional,,True,
C000142,Brugmansia_08_S02_AB,Brugmansia_08,A,Brendan,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000143,Brugmansia_08_S02_AB,Brugmansia_08,A,Brendan,visual_hallucination_inorganic_entity_earth_river_sky_cloud,"Visual hallucination | Inorganic entity | Earth, river, sky, cloud",Visual hallucination,Inorganic entity,"Earth, river, sky, cloud",True,
C000144,Brugmansia_08_S02_AB,Brugmansia_08,A,Brendan,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,
C000145,Brugmansia_08_S02_AB,Brugmansia_08,B,Noah,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,True,
C000146,Brugmansia_08_S03_AB,Brugmansia_08,A,Brendan,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,True,
C000147,Brugmansia_08_S03_AB,Brugmansia_08,A,Brendan,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,True,
C000148,Brugmansia_08_S03_AB,Brugmansia_08,A,Brendan,modal_status_of_the_hallucination_impossible_event,Modal status of the hallucination | Impossible event,Modal status of the hallucination,Impossible event,,True,
C000149,Brugmansia_08_S03_AB,Brugmansia_08,B,Noah,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,True,
