bin_id,trip_id,bin_span_start,bin_span_end,bin_status,n_scenes_in_bin,n_both_scenes,n_only_A_scenes,n_only_B_scenes,granularity_recovered,chunking_split,member_scene_ids
Psilocybe_12_B197,Psilocybe_12,1283,1350,only_B,1,0,0,1,False,False,Psilocybe_12_S01_B
Psilocybe_12_B198,Psilocybe_12,2195,2340,both,1,1,0,0,False,False,Psilocybe_12_S02_AB
Psilocybe_12_B199,Psilocybe_12,5259,5800,both,1,1,0,0,False,False,Psilocybe_12_S03_AB
Psilocybe_12_B200,Psilocybe_12,5832,7720,both,3,2,0,1,False,False,Psilocybe_12_S04_AB;Psilocybe_12_S05_B;Psilocybe_12_S06_AB
Psilocybe_12_B201,Psilocybe_12,8009,8550,both,1,1,0,0,False,False,Psilocybe_12_S07_AB
Psilocybe_12_B202,Psilocybe_12,8878,9020,both,1,1,0,0,False,False,Psilocybe_12_S08_AB
Psilocybe_12_B203,Psilocybe_12,12092,12400,only_A,2,0,2,0,False,False,Psilocybe_12_S09_A;Psilocybe_12_S10_A
Psilocybe_13_B204,Psilocybe_13,684,830,both,1,1,0,0,False,False,Psilocybe_13_S01_AB
Psilocybe_13_B205,Psilocybe_13,1309,1620,both,1,1,0,0,False,False,Psilocybe_13_S02_AB
Psilocybe_13_B206,Psilocybe_13,1876,2100,both,1,1,0,0,False,False,Psilocybe_13_S03_AB
Psilocybe_13_B207,Psilocybe_13,2254,2500,both,1,1,0,0,False,False,Psilocybe_13_S04_AB
Psilocybe_13_B208,Psilocybe_13,2700,2950,both,1,1,0,0,False,False,Psilocybe_13_S05_AB
Psilocybe_13_B209,Psilocybe_13,3677,3950,both,1,1,0,0,False,False,Psilocybe_13_S06_AB
Psilocybe_13_B210,Psilocybe_13,4418,4520,only_B,1,0,0,1,False,False,Psilocybe_13_S07_B
Psilocybe_13_B211,Psilocybe_13,4569,4760,both,1,1,0,0,False,False,Psilocybe_13_S08_AB
Psilocybe_13_B212,Psilocybe_13,4773,5140,both,1,1,0,0,False,False,Psilocybe_13_S09_AB
Psilocybe_13_B213,Psilocybe_13,5144,5400,both,1,1,0,0,False,False,Psilocybe_13_S10_AB
Psilocybe_13_B214,Psilocybe_13,5522,5600,only_B,1,0,0,1,False,False,Psilocybe_13_S11_B
Psilocybe_13_B215,Psilocybe_13,6893,7000,only_B,1,0,0,1,False,False,Psilocybe_13_S12_B
Psilocybe_13_B216,Psilocybe_13,7196,7300,only_A,1,0,1,0,False,False,Psilocybe_13_S13_A
Psilocybe_14_B217,Psilocybe_14,687,790,only_A,1,0,1,0,False,False,Psilocybe_14_S01_A
Psilocybe_14_B218,Psilocybe_14,795,900,only_B,1,0,0,1,False,False,Psilocybe_14_S02_B
Psilocybe_14_B219,Psilocybe_14,1285,1400,only_B,1,0,0,1,False,False,Psilocybe_14_S03_B
Psilocybe_14_B220,Psilocybe_14,2191,2500,both,1,1,0,0,False,False,Psilocybe_14_S04_AB
Psilocybe_14_B221,Psilocybe_14,2730,3000,both,1,1,0,0,False,False,Psilocybe_14_S05_AB
Psilocybe_14_B222,Psilocybe_14,4351,4600,both,1,1,0,0,False,False,Psilocybe_14_S06_AB
Psilocybe_15_B223,Psilocybe_15,855,960,only_A,1,0,1,0,False,False,Psilocybe_15_S01_A
Psilocybe_15_B224,Psilocybe_15,1098,1200,only_A,1,0,1,0,False,False,Psilocybe_15_S02_A
Psilocybe_15_B225,Psilocybe_15,1513,1630,only_B,1,0,0,1,False,False,Psilocybe_15_S03_B
Psilocybe_15_B226,Psilocybe_15,1630,2000,both,2,2,0,0,False,False,Psilocybe_15_S04_AB;Psilocybe_15_S05_AB
Psilocybe_15_B227,Psilocybe_15,2523,2640,only_A,1,0,1,0,False,False,Psilocybe_15_S06_A
Psilocybe_15_B228,Psilocybe_15,2642,3000,both,1,1,0,0,False,False,Psilocybe_15_S07_AB
Psilocybe_15_B229,Psilocybe_15,3047,3260,both,1,1,0,0,False,False,Psilocybe_15_S08_AB
Psilocybe_15_B230,Psilocybe_15,5125,5500,only_B,2,0,0,2,False,False,Psilocybe_15_S09_B;Psilocybe_15_S10_B
Psilocybe_15_B231,Psilocybe_15,5784,5900,both,1,1,0,0,False,False,Psilocybe_15_S11_AB
Psilocybe_15_B232,Psilocybe_15,5968,6100,both,1,1,0,0,False,False,Psilocybe_15_S12_AB
Psilocybe_15_B233,Psilocybe_15,6757,6900,both,1,1,0,0,False,False,Psilocybe_15_S13_AB
Psilocybe_15_B234,Psilocybe_15,7381,7500,both,1,1,0,0,False,False,Psilocybe_15_S14_AB
Psilocybe_15_B235,Psilocybe_15,7971,8100,only_A,1,0,1,0,False,False,Psilocybe_15_S15_A
